index,time,IP,PD,GWfr,GWfr_avg,FIR,TDAI,WP,LHD_label,ELM_label
145,1.5808,-1035903.43749999,7756996365488.34,0.191508392921878,0.191508392921878,5.99664260309301e+18,7756996365488.34,175169.144793897,1,1
146,1.5814,-1034870.62499999,7650833679098.56,0.191781758602269,0.191781758602269,6.00628291907094e+18,7650833679098.56,172950.926290081,1,1
147,1.582,-1033978.18750001,7479462202081.89,0.192282590258088,0.192282590258088,6.0209500149824e+18,7479462202081.89,170732.707786264,1,1
148,1.5826,-1039393.56249999,7605931884282.22,0.192881588270036,0.192881588270036,6.03785809534604e+18,7605931884282.22,172885.551022897,1,1
149,1.5832,-1035862.37499996,7723532274646.87,0.193758770887591,0.193758770887591,6.06132983899665e+18,7723532274646.87,175043.736549614,1,1
150,1.5838,-1034780.12500002,7822640658063.07,0.194632295984372,0.194632295984372,6.08739510407928e+18,7822640658063.07,177201.922076331,1,1
151,1.5844,-1035318.62499999,7600881391321.3,0.195501875858924,0.195501875858924,6.11625789760841e+18,7600881391321.3,177503.390290077,1,1
152,1.585,-1036246.5625,7220352698035.14,0.196182153158755,0.196182153158755,6.14374394155421e+18,7220352698035.14,176879.047328245,1,1
153,1.5856,-1035867,7640863333128.35,0.196812345568454,0.196812345568454,6.17007578724786e+18,7640863333128.35,176254.704366413,1,1
154,1.5862,-1035461.49999999,7896286569822.89,0.197393798228417,0.197393798228417,6.19177724183046e+18,7896286569822.89,175999.947337142,1,1
155,1.5868,-1037822.43749997,7825136043613.31,0.197919980402707,0.197919980402707,6.21004027065162e+18,7825136043613.31,176476.300434285,1,1
156,1.5874,-1035574.25000002,7647095067472.38,0.198385675561686,0.198385675561686,6.22454034879234e+18,7647095067472.38,176952.653531428,1,1
157,1.588,-1036701.4375,7414883877108.62,0.198600884309218,0.198600884309218,6.23578121941521e+18,7414883877108.62,177429.00662857,1,1
158,1.5886,-1035704.875,7361835524886.83,0.198744032835848,0.198744032835848,6.24662219451663e+18,7361835524886.83,177370.092213741,1,1
159,1.5892,-1036247.81250004,7497779051468.01,0.198805513069708,0.198805513069708,6.25954668660878e+18,7497779051468.01,177310.059236641,1,1
160,1.5898,-1037265.5,8012950398561.74,0.199069089515903,0.199069089515903,6.27566019036197e+18,8012950398561.74,177250.026259542,1,1
161,1.5904,-1037034.93750002,8001562195425.27,0.19955141551538,0.19955141551538,6.29522549001083e+18,8001562195425.27,176895.943908398,1,1
162,1.591,-1038897.12499999,7726663628905.25,0.200485075863043,0.200485075863043,6.32366561171264e+18,7726663628905.25,176394.668549619,1,1
163,1.5916,-1037630.75,7558810064521.31,0.201514993504635,0.201514993504635,6.35446976447004e+18,7558810064521.31,175893.393190841,1,1
164,1.5922,-1038180.37499996,7447459701712.63,0.2025561355607,0.2025561355607,6.38819238844501e+18,7447459701712.63,175328.222080001,1,1
165,1.5928,-1037403.00000001,7448317698477.13,0.203505257682241,0.203505257682241,6.42043705333176e+18,7448317698477.13,174636.161920001,1,1
166,1.5934,-1038094.68749998,7563095212602,0.204355866898333,0.204355866898333,6.45109947362473e+18,7563095212602,173944.101760001,1,1
167,1.594,-1039033.99999999,7734196049010.55,0.205261984060983,0.205261984060983,6.48280179585884e+18,7734196049010.55,173252.041600001,1,1
168,1.5946,-1037971.0625,7758598294497.43,0.206154729192888,0.206154729192888,6.51383572825333e+18,7758598294497.43,173713.883053434,1,1
169,1.5952,-1038384.9375,7696250146655.02,0.206913386371798,0.206913386371798,6.53989560466323e+18,7696250146655.02,174179.138625953,1,1
170,1.5958,-1039668.74999999,7459679098924.48,0.207432465747191,0.207432465747191,6.55742142712681e+18,7459679098924.48,174644.394198472,1,1
171,1.5964,-1040043.8125,7522957969874.4,0.207691325455768,0.207691325455768,6.56567790726443e+18,7522957969874.4,174935.846351145,1,1
172,1.597,-1039829.5625,7736918001623.7,0.207705399843805,0.207705399843805,6.5646260170397e+18,7736918001623.7,175139.958473282,1,1
173,1.5976,-1039247.5625,7465350036201.03,0.207627657905751,0.207627657905751,6.56056940169644e+18,7465350036201.03,175344.070595419,1,1
174,1.5982,-1039189.43750001,7352700550901.62,0.207343953653759,0.207343953653759,6.55148618443028e+18,7352700550901.62,175985.354259539,1,1
175,1.5988,-1039238.5625,7557068707596.66,0.207032409436988,0.207032409436988,6.54231959427602e+18,7557068707596.66,177498.18528244,1,1
176,1.5994,-1039630.50000001,7453630757091.9,0.206690957466023,0.206690957466023,6.53306343878417e+18,7453630757091.9,179011.016305341,1,1
177,1.6,-1040878.56249999,7198403611030.21,0.206473923006973,0.206473923006973,6.52704444260236e+18,7198403611030.21,180516.251428574,1,1
178,1.6006,-1040499.31249999,7331228587285.53,0.206305363999626,0.206305363999626,6.52228548050464e+18,7331228587285.53,179042.253165717,1,1
179,1.6012,-1040642.31250002,7591382412674,0.206258343931098,0.206258343931098,6.52068151146484e+18,7591382412674,177568.25490286,1,1
180,1.6018,-1041723.93749999,8109545417598.46,0.206269066277085,0.206269066277085,6.52084526227879e+18,8109545417598.46,176094.256640003,1,1
181,1.6024,-1040632.50000002,8369057690860.61,0.206342723766998,0.206342723766998,6.52293570258705e+18,8369057690860.61,175524.18448855,1,1
182,1.603,-1038268.81250002,8498086744278.12,0.206573142217157,0.206573142217157,6.52988729523769e+18,8498086744278.12,175410.121832061,1,1
183,1.6036,-1040157.62500001,8161138265943.83,0.206871662396469,0.206871662396469,6.53971787086302e+18,8161138265943.83,175296.059175573,1,1
184,1.6042,-1040572.68750003,8014492803561.88,0.207330796206344,0.207330796206344,6.55838174100997e+18,8014492803561.88,175376.014290075,1,1
185,1.6048,-1042309.62499999,8249712018532.58,0.20775377755906,0.20775377755906,6.57842086436859e+18,8249712018532.58,175844.27151145,1,1
186,1.6054,-1040594.18750001,8309790336570.83,0.208144967668309,0.208144967668309,6.5996693387123e+18,8309790336570.83,176312.528732823,1,1
187,1.606,-1041138.99999999,8281787323202.76,0.208496871897849,0.208496871897849,6.61512410604125e+18,8281787323202.76,176779.658057143,1,1
188,1.6066,-1041383.8125,7771304113235.48,0.208829919225844,0.208829919225844,6.62839513837995e+18,7771304113235.48,176575.93472,1,1
189,1.6072,-1041610.75000003,7485160165052.98,0.209094137652246,0.209094137652246,6.63490690184303e+18,7485160165052.98,176372.211382858,1,1
190,1.6078,-1043982.99999999,7642497770596.16,0.209132144995214,0.209132144995214,6.63585763183414e+18,7642497770596.16,176168.488045715,1,1
191,1.6084,-1043520.74999998,7934732543398.12,0.208957772156066,0.208957772156066,6.63158733868347e+18,7934732543398.12,176608.10015267,1,1
192,1.609,-1042832.49999999,8295284123598.92,0.208492736850374,0.208492736850374,6.62054771528853e+18,8295284123598.92,177373.520610686,1,1
193,1.6096,-1045194.31249997,8068066167628.24,0.20794494959423,0.20794494959423,6.60681660929954e+18,8068066167628.24,178138.941068701,1,1
194,1.6102,-1043234.12499994,8034820658232.09,0.207354213955136,0.207354213955136,6.5887019754503e+18,8034820658232.09,178323.818748094,1,1
195,1.6108,-1041739.62500001,8393588259833.78,0.206795895890463,0.206795895890463,6.56986172106915e+18,8393588259833.78,177342.279572521,1,1
196,1.6114,-1042470.81249999,8113104193272.15,0.206272645263352,0.206272645263352,6.55023653280104e+18,8113104193272.15,176360.740396948,1,1
197,1.612,-1044378.49999995,7513855972550.61,0.20593418431463,0.20593418431463,6.54203206579227e+18,7513855972550.61,175380.149007633,1,1
198,1.6126,-1041826.37500001,8152249000244.12,0.205688739782137,0.205688739782137,6.53891841401506e+18,8152249000244.12,175563.249587786,1,1
